日付け,終値,始値,高値,安値,前日比%
2020年4月24日,1.2367,1.2344,1.2378,1.2298,0.20%
2020年4月23日,1.2342,1.2334,1.2416,1.2307,0.08%
2020年4月22日,1.2332,1.2294,1.2387,1.2273,0.32%
2020年4月21日,1.2293,1.2437,1.2451,1.2247,-1.14%
2020年4月20日,1.2435,1.2487,1.2505,1.2415,-0.51%
2020年4月17日,1.2499,1.2457,1.2523,1.2407,0.35%
2020年4月16日,1.2455,1.2514,1.2531,1.2407,-0.47%
2020年4月15日,1.2514,1.2616,1.2631,1.2437,-0.86%
2020年4月14日,1.2623,1.2514,1.2648,1.2503,0.93%
2020年4月13日,1.2507,1.2464,1.2537,1.245,0.44%
2020年4月10日,1.2452,1.2458,1.2488,1.2443,-0.02%
2020年4月9日,1.2455,1.2385,1.2485,1.2361,0.57%
2020年4月8日,1.2385,1.2331,1.2421,1.2288,0.39%
2020年4月7日,1.2337,1.2232,1.2385,1.2164,0.88%
2020年4月6日,1.2229,1.2264,1.2328,1.2208,-0.25%
2020年4月3日,1.226,1.2396,1.2412,1.2206,-1.07%
2020年4月2日,1.2392,1.2376,1.2476,1.2349,0.13%
2020年4月1日,1.2376,1.2429,1.2443,1.2329,-0.34%
2020年3月31日,1.2418,1.2414,1.2474,1.2251,0.02%
2020年3月30日,1.2416,1.2435,1.2469,1.2316,-0.32%
